actionable_rank,page_reference,review_priority_score,model_score,feature_impressions,feature_clicks,feature_ctr,feature_avg_position,feature_position_volatility,feature_active_days,feature_available_days,position_band,archetype,action_label,reason_code,confidence_level,confidence_note,review_cost_tier,estimated_review_minutes,human_review_required
4475,REVIEW-04475,60.59,0.5688467999022958,1418.0,2.0,0.0014104372355430183,5.44573378010484,0.8855306640962886,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4476,REVIEW-04476,60.59,0.5082544931272642,2185.0,8.0,0.0036613272311212816,6.747108753294886,1.2358362180021605,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4477,REVIEW-04477,60.58,0.6020385003449151,1157.0,0.0,0.0,3.1581491039091185,1.4297981465477818,15,15,Page 1,HIGH_RISK_STABLE_VISIBILITY,REFRESH_AND_PROTECT,HIGH_RISK_STABLE_PAGE_1,MEDIUM,High measured risk with stable Page-1 visibility.,MEDIUM,75,True
4478,REVIEW-04478,60.58,0.5632959296895687,1476.0,3.0,0.0020325203252032522,6.322314967054066,1.5162722046345016,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4479,REVIEW-04479,60.58,0.5383835971584787,1745.0,4.0,0.002292263610315186,4.565170322403523,1.4193785321593662,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4480,REVIEW-04480,60.58,0.45658262394432547,3614.0,20.0,0.005534034311012728,7.513072555303709,1.8961906793344137,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4481,REVIEW-04481,60.57,0.5869091471895433,1264.0,1.0,0.0007911392405063291,4.839907179615792,1.125224719466824,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4482,REVIEW-04482,60.57,0.5737178215617886,1374.0,1.0,0.000727802037845706,3.3578437888526875,0.8841436295851367,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4483,REVIEW-04483,60.57,0.5674715497314398,1430.0,2.0,0.0013986013986013986,4.3623338186203515,1.4934623440375447,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4484,REVIEW-04484,60.56,0.6473539132541585,888.0,0.0,0.0,7.749935116105166,2.2062127567680627,15,15,Page 1,HIGH_RISK_OTHER,MANUAL_REVIEW,HIGH_RISK_NO_CLEAR_ARCHETYPE,LOW,A full human investigation is required.,MEDIUM,30,True
4485,REVIEW-04485,60.56,0.6375628001612825,941.0,0.0,0.0,4.706430584269398,3.4491174359975685,15,15,Page 1,HIGH_RISK_VOLATILE,REFRESH_REVIEW,HIGH_RISK_HIGH_VOLATILITY,MEDIUM,High measured risk with high training-referenced volatility.,MEDIUM,90,True
4486,REVIEW-04486,60.56,0.6163764285906737,1060.0,0.0,0.0,4.8692588159318975,1.4693908609821902,15,15,Page 1,HIGH_RISK_STABLE_VISIBILITY,REFRESH_AND_PROTECT,HIGH_RISK_STABLE_PAGE_1,MEDIUM,High measured risk with stable Page-1 visibility.,MEDIUM,75,True
4487,REVIEW-04487,60.56,0.60518020144882,1133.0,1.0,0.00088261253309797,6.343666261873783,1.8780221481403192,15,15,Page 1,HIGH_RISK_OTHER,MANUAL_REVIEW,HIGH_RISK_NO_CLEAR_ARCHETYPE,LOW,A full human investigation is required.,MEDIUM,30,True
4488,REVIEW-04488,60.56,0.5872724338021275,1259.0,3.0,0.0023828435266084196,7.475702516952734,3.64832877887651,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4489,REVIEW-04489,60.56,0.47846264331482186,2832.0,3.0,0.001059322033898305,19.675856594368877,4.265436538076289,15,15,Page 2,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4490,REVIEW-04490,60.55,0.5875041473028844,1256.0,1.0,0.0007961783439490446,4.653838982047279,1.3152742950000957,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4491,REVIEW-04491,60.55,0.531877226205512,1819.0,4.0,0.0021990104452996153,3.500945410858635,1.3774065972030058,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4492,REVIEW-04492,60.55,0.5127319439272804,2099.0,1.0,0.0004764173415912339,15.81173156115891,8.041594523785184,15,15,Page 2,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4493,REVIEW-04493,60.55,0.48573725418514846,2638.0,11.0,0.004169825625473844,5.644852495163773,1.6361821234018015,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4494,REVIEW-04494,60.55,0.48304512212125633,5146.0,12.0,0.002331908278274388,4.44028694061751,1.1123752337437238,10,10,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4495,REVIEW-04495,60.54,0.587077842133727,1258.0,3.0,0.0023847376788553257,6.531787589539051,4.291826540142039,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4496,REVIEW-04496,60.54,0.5527041873700916,1579.0,5.0,0.0031665611146295125,7.387313434609115,2.993434110976544,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4497,REVIEW-04497,60.54,0.525491952103616,1903.0,6.0,0.0031529164477141357,6.374236777566214,1.465308376900748,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4498,REVIEW-04498,60.54,0.5238229602061203,1925.0,5.0,0.0025974025974025974,2.874365296363177,1.0364290604247541,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4499,REVIEW-04499,60.54,0.49885540428657366,2342.0,7.0,0.0029888983774551663,3.0176768357203345,1.2506000395578372,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
